Date,entropy,synchronization,amplitude,psi,pressure,percentile,defensive_weight,risk_return,defensive_return,cesp_return,cesp_equity,risk_equity,defensive_equity,weight,date
2021-03-17,0.870026369693451,0.7777777777777778,0.4813910950052602,0.04866411527839437,0.027860671053639516,0.4126984126984127,0.0,0.008376864336460961,-0.0017136731138202022,0.008376864336460961,5.0435002756782925,4.412263965227356,1.2472698796637454,0.0,2021-03-17
2021-03-18,0.8805468099185234,1.0,2.507743105983443,0.2995579139145527,0.04049775211693782,0.4603174603174603,0.0,-0.025185753511264078,-0.004020594427363161,-0.025185753511264078,4.916475920901067,4.301137772572507,1.2422551133361515,0.0,2021-03-18
2021-03-19,0.7841854562350706,0.2222222222222222,0.8527221768522748,0.04089552167902469,0.040516253026802326,0.9841269841269841,0.9206349206349204,0.005371431165967697,0.0025414054606803516,0.005371431165967697,4.942884432889324,4.3242410380532235,1.245412187264742,0.0,2021-03-19
2021-03-20,0.22589756563730407,0.027777777777777776,0.01785494423817654,0.00038393210556062916,0.03864963344907015,0.9841269841269841,0.9206349206349204,-0.0003678652319319347,0.0,-0.0009498305739628518,4.9381895301314005,4.322650300120831,1.245412187264742,0.9206349206349204,2021-03-20
2021-03-21,0.3135950031155819,0.027777777777777776,0.13566505182676006,0.0025866991521242126,0.03697228766781685,0.9722222222222222,0.861111111111111,-0.003002447552813117,0.0,-0.00023828948831850218,4.937012811475046,4.309671769305566,1.245412187264742,0.9206349206349204,2021-03-21
2021-03-22,0.9179131938234464,-0.1111111111111111,0.8580794017172307,0.0,0.035252646380941645,0.9523809523809523,0.7619047619047616,-0.010045805908130053,0.0027477510490250823,0.0009113443287852811,4.941512130101924,4.266377643183374,1.2488342699087671,0.861111111111111,2021-03-22
2021-03-23,0.8000557197459058,0.5555555555555556,1.4440380944135123,0.16040397635944634,0.04107363847296513,0.9206349206349206,0.6031746031746028,-0.01222725709493454,0.00318256655587687,-0.0005856454244750569,4.938618156132942,4.214211546876091,1.2528087680900117,0.7619047619047616,2021-03-23
2021-03-24,0.9660677450780261,0.2222222222222222,1.194124785853777,0.009004299253830643,0.03958204129998213,0.9841269841269841,0.9206349206349204,-0.010107284256774294,0.0031428029105824984,-0.002273898346305123,4.927388240474679,4.171617312853633,1.2567460991327681,0.6031746031746028,2021-03-24
2021-03-25,0.8487840435217195,0.0,0.9783875759435705,0.0,0.03774101612323877,0.9682539682539683,0.8412698412698413,0.000798761486901303,-0.002506759416504717,-0.002561876805123286,4.914764878831569,4.174949440101232,1.2535957390146115,0.9206349206349204,2021-03-25
2021-03-26,0.9824355318327503,1.0,1.6687058873730207,0.029309931439265517,0.037348872649565594,0.9523809523809523,0.7619047619047616,0.029582882280189373,-0.00129774675854058,0.003524575311099095,4.932087337783356,4.298456477913489,1.2519688892077852,0.8412698412698413,2021-03-26
2021-03-27,0.2824243304047952,0.027777777777777776,0.12732011910184127,0.0025378283254845826,0.035729754308910656,0.9444444444444444,0.722222222222222,0.002575921099705515,0.0,0.0005339494681838532,4.934720823194401,4.309528962651113,1.2519688892077852,0.7619047619047616,2021-03-27
